[unsup] epoch 605/800  loss=7156.4669
[unsup] epoch 606/800  loss=7087.0132
[unsup] epoch 607/800  loss=7212.4831
[unsup] epoch 608/800  loss=7082.0168
[unsup] epoch 609/800  loss=7014.8132
[unsup] epoch 610/800  loss=7220.2152
[unsup] epoch 611/800  loss=7132.8150
[unsup] epoch 612/800  loss=7224.9795
[unsup] epoch 613/800  loss=7532.1365
[unsup] epoch 614/800  loss=7135.6275
[unsup] epoch 615/800  loss=7146.7330
[unsup] epoch 616/800  loss=7113.5491
[unsup] epoch 617/800  loss=7006.3801
[unsup] epoch 618/800  loss=7085.3849
[unsup] epoch 619/800  loss=7053.5793
[unsup] epoch 620/800  loss=7093.2546
[unsup] epoch 621/800  loss=7119.7941
[unsup] epoch 622/800  loss=7110.8635
[unsup] epoch 623/800  loss=7070.6064
[unsup] epoch 624/800  loss=7010.5954
[unsup] epoch 625/800  loss=7064.3947
[unsup] epoch 626/800  loss=7243.0498
[unsup] epoch 627/800  loss=7157.9631
[unsup] epoch 628/800  loss=7030.7659
[unsup] epoch 629/800  loss=7152.6340
[unsup] epoch 630/800  loss=7203.2125
[unsup] epoch 631/800  loss=7091.6692
[unsup] epoch 632/800  loss=7144.6257
[unsup] epoch 633/800  loss=7011.9006
[unsup] epoch 634/800  loss=7093.9258
[unsup] epoch 635/800  loss=7097.1308
[unsup] epoch 636/800  loss=7099.6462
